,Team_A_Cars,Team_A_Revenue,Team_B_Cars,Team_B_Revenue,Team_C_Cars,Team_C_Revenue,Team_D_Cars,Team_D_Revenue
0,55,5775,44,4620,28,2940,54,5670
1,57,5985,43,4515,28,2940,54,5670
2,58,6090,43,4515,27,2835,54,5670
3,56,5880,43,4515,27,2835,54,5670
4,56,5880,43,4515,27,2835,54,5670
5,56,5880,42,4410,28,2940,54,5670
6,57,5985,42,4410,28,2940,54,5670
7,56,5880,42,4410,27,2835,54,5670
8,57,5985,43,4515,28,2940,53,5565
9,57,5985,43,4515,27,2835,54,5670
10,57,5985,44,4620,27,2835,54,5670
11,56,5880,43,4515,28,2940,54,5670
12,56,5880,42,4410,28,2940,53,5565
13,56,5880,42,4410,27,2835,53,5565
14,56,5880,44,4620,28,2940,55,5775
15,57,5985,43,4515,28,2940,55,5775
16,57,5985,43,4515,28,2940,53,5565
17,57,5985,42,4410,27,2835,53,5565
18,56,5880,42,4410,28,2940,54,5670
19,56,5880,43,4515,27,2835,54,5670
20,57,5985,41,4305,28,2940,53,5565
21,57,5985,44,4620,27,2835,53,5565
22,56,5880,43,4515,28,2940,53,5565
23,57,5985,42,4410,28,2940,54,5670
24,56,5880,42,4410,28,2940,55,5775
25,55,5775,42,4410,27,2835,54,5670
26,56,5880,44,4620,28,2940,54,5670
27,57,5985,43,4515,28,2940,53,5565
28,56,5880,43,4515,28,2940,54,5670
29,57,5985,43,4515,28,2940,54,5670
30,57,5985,43,4515,28,2940,54,5670
31,56,5880,42,4410,28,2940,54,5670
32,57,5985,40,4200,29,3045,54,5670
33,57,5985,44,4620,28,2940,53,5565
34,57,5985,44,4620,28,2940,53,5565
35,56,5880,42,4410,27,2835,54,5670
36,58,6090,43,4515,28,2940,54,5670
37,56,5880,43,4515,28,2940,53,5565
38,57,5985,42,4410,28,2940,54,5670
39,57,5985,43,4515,28,2940,54,5670
40,57,5985,43,4515,27,2835,54,5670
41,58,6090,43,4515,27,2835,55,5775
42,57,5985,44,4620,28,2940,54,5670
43,56,5880,43,4515,28,2940,54,5670
44,57,5985,44,4620,27,2835,55,5775
45,57,5985,44,4620,27,2835,54,5670
46,57,5985,42,4410,27,2835,53,5565
47,56,5880,43,4515,28,2940,55,5775
48,57,5985,42,4410,28,2940,54,5670
49,57,5985,43,4515,26,2730,53,5565
50,57,5985,42,4410,27,2835,53,5565
51,56,5880,42,4410,28,2940,53,5565
52,57,5985,44,4620,27,2835,54,5670
53,58,6090,43,4515,29,3045,54,5670
54,58,6090,44,4620,28,2940,53,5565
55,57,5985,42,4410,28,2940,53,5565
56,56,5880,43,4515,28,2940,54,5670
57,56,5880,44,4620,28,2940,54,5670
58,57,5985,44,4620,27,2835,53,5565
59,56,5880,43,4515,28,2940,54,5670
60,56,5880,43,4515,28,2940,55,5775
61,56,5880,43,4515,28,2940,53,5565
62,56,5880,42,4410,28,2940,53,5565
63,56,5880,44,4620,28,2940,55,5775
64,56,5880,44,4620,28,2940,53,5565
65,57,5985,41,4305,28,2940,53,5565
66,56,5880,42,4410,28,2940,53,5565
67,56,5880,42,4410,29,3045,54,5670
68,57,5985,41,4305,28,2940,54,5670
69,56,5880,42,4410,27,2835,53,5565
70,57,5985,42,4410,27,2835,53,5565
71,57,5985,43,4515,28,2940,54,5670
72,58,6090,42,4410,28,2940,53,5565
73,57,5985,43,4515,28,2940,53,5565
74,56,5880,43,4515,28,2940,54,5670
75,57,5985,43,4515,28,2940,54,5670
76,57,5985,42,4410,27,2835,53,5565
77,56,5880,43,4515,27,2835,54,5670
78,56,5880,43,4515,28,2940,55,5775
79,57,5985,44,4620,27,2835,54,5670
80,57,5985,43,4515,28,2940,54,5670
81,57,5985,44,4620,27,2835,54,5670
82,56,5880,43,4515,28,2940,54,5670
83,57,5985,44,4620,27,2835,54,5670
84,56,5880,42,4410,28,2940,53,5565
85,56,5880,41,4305,27,2835,54,5670
86,56,5880,43,4515,27,2835,53,5565
87,56,5880,44,4620,27,2835,55,5775
88,57,5985,42,4410,27,2835,54,5670
89,57,5985,44,4620,28,2940,53,5565
90,57,5985,43,4515,28,2940,53,5565
91,58,6090,43,4515,27,2835,55,5775
92,57,5985,44,4620,28,2940,55,5775
93,56,5880,44,4620,28,2940,53,5565
94,57,5985,43,4515,28,2940,53,5565
95,56,5880,43,4515,27,2835,53,5565
96,57,5985,42,4410,28,2940,55,5775
97,56,5880,42,4410,28,2940,53,5565
98,57,5985,44,4620,28,2940,54,5670
99,56,5880,43,4515,28,2940,54,5670
